county	Latitude	"Longitude
"	Population
CO. CARLOW	52.835972	-6.924550	"56,932"
CO. CAVAN	53.994320	-7.360800	"76,176"
CO. CLARE	52.844350	-8.983000	"118,817"
CO. CORK	51.897870	-8.471090	"542,868"
CO. DONEGAL	54.654900	-8.104100	"159,192"
CO. DUBLIN	53.344100	-6.267490	"1,348,000"
CO. GALWAY	53.273800	-9.051780	"258,058"
CO. KERRY	52.154500	-9.566900	"147,707"
CO. KILDARE	53.159830	-6.909000	"222,504"
CO. KILKENNY	52.653740	-7.247960	"99,232"
CO. LAOIS	53.034300	-7.301870	"84,697"
CO. LEITRIM	53.989330	-8.062920	"32,044"
CO. LIMERICK	52.663860	-8.626770	"194,899"
CO. LONGFORD	53.725920	-7.798380	"40,873"
CO. LOUTH	53.716770	-6.354350	"128,884"
CO. MAYO	53.759720	-9.117180	"130,507"
CO. MEATH	53.654598	-6.688820	"195,044"
CO. MONAGHAN	54.248450	-6.969090	"60,483"
CO. OFFALY	53.273910	-7.494550	"77,961"
CO. ROSCOMMON	53.627940	-8.188560	"64,544"
CO. SLIGO	54.270600	-8.471640	"65,535"
CO. TIPPERARY	52.474880	-8.157200	"159,553"
CO. WATERFORD	52.256790	-7.129200	"116,176"
CO. WESTMEATH	53.425050	-7.944620	"88,770"
CO. WEXFORD	52.339230	-6.460040	"149,722"
CO. WICKLOW	52.980470	-6.042740	"142,425"
DUBLIN CITY	53.344100	-6.267490	"1,361,000"
N/A	0.000000	0.000000	0
