description,cost
Aerodrome Licence,500
Beer & Wine Retailer's Off Licence,1000
Beer Retailer's Off Licence,500
Cider Retailer's Off Licence,500
Licence to Manufacturing or Wholesale Chemist & Druggist to sell Spirits,500
Manufacturer's Licence - Brewer,500
Manufacturer's Licence - Cider Manufacturer,500
Manufacturer's Licence - Compounder of Spirits,500
Manufacturer's Licence - Distiller of Spirits,500
Manufacturer's Licence - Methylated Spirits,500
Manufacturer's Licence - Rectifier of Spirits,500
Manufacturer's Licence - Sweets Manufacturer,500
National Concert Hall Licence,500
National Conference Centre Licence,500
National Cultural Institutions Licence,500
National Sporting Arena Licence,500
Passenger Aircraft Licence,500
Passenger Vessel Licence,500
Publican's Licence (6-Day & Early Closing),250
Publican's Licence (6-Day),250
Publican's Licence (7-Day Ordinary),250
Publican's Licence (ordinary) - Holiday Camp,250
Publican's Licence (ordinary) - Theatre,250
Publican's Licence (Ordinary) Greyhound Racetrack,250
Publican's Licence (ordinary) Horse Racecourse,250
Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),250
Publican's Licence (Ordinary) Hotel - 1902 Act. (Resident's Bar),250
Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),250
Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Resident's Bar),250
Publican's Ordinary Railway Refreshment Rooms Licence,500
Railway Restaurant Car Licence,500
Special Restaurant Licence,500
Spirit & Beer Retailer's Off Licence,1000
Spirit & Wine Retailer's Off Licence,1000
Spirit Retailer's Off Licence,500
"Spirit, Beer & Wine Retailer's Off Licence",1500
Sweets Retailer's On Licence Ordinary,500
Wholesaler Dealer in Beer,500
Wholesaler Dealer in Beer & Spirits,1000
Wholesaler Dealer in Beer & Wine,1000
Wholesaler Dealer in Beer & Wine Retailer's Off Licence,1500
"Wholesaler Dealer in Beer & Wine, & Wine Retailer's Off Licence",1500
"Wholesaler Dealer in Beer, Retailer of Spirits, Beer & Wine Off Licence",1500
"Wholesaler Dealer in Beer, Wine & Spirits",1500
"Wholesaler Dealer in Beer, Wine & Spirits, & Beer & Wine Retailer's Off Licence",2500
"Wholesaler Dealer in Beer, Wine & Spirits, & Beer, Wine & Spirits Retailer's Off Licence",3000
Wholesaler Dealer in Spirits,500
"Wholesaler Dealer in Spirits & Wine, & Spirits Beer & Wine Retailer's Off Licence",2500
Wholesaler Dealer in Spirits of Wine,500
"Wholesaler Dealer in Spirits, Beer & Wine, & Wine Retailer's Off Licence",2000
Wholesaler Dealer in Wine,500
Wholesaler Dealer in Wine & Spirits,1000
Wholesaler Dealer in Wine & Wine Retailer's Off Licence,1000
Wine Retailer's Off Licence,500
Wine Retailer's On Licence,500
