licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
CAO0512,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",Z STATIONS LIMITED,ZERAFA'S CENTRA BALLON,DION ZEREFA,BALLON,NA,NA,CO. CARLOW
1015046,Wholesaler Dealer in Spirits                                                                        ,WW EQUITY HOUSE TRADING LIMITED,WALSH WHISKEY,BERNARD WALSH,EQUITY HOUSE,DEERPARK BUSINESS PARK,DUBLIN ROAD,CO. CARLOW
CASR0463,Special Restaurant Licence                                                                          ,WEEPING THAIGER RESTAURANTS LIMITED,WEEPING THAIGER RESTAURANT,AIDAN O'TOOLE,MILL LANE,GOVERNEY SQUARE,CARLOW,CO. CARLOW
1001916,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",WALDER OFF LICENCE LIMITED,NA,NA,3 BARRACK STREET,NA,NA,CO. CARLOW
CAP0083,Publican's Licence (7-Day Ordinary)                                                                 ,TULLYS BAR LIMITED,TULLY'S BAR,PATRICK TULLY,148/149 TULLOW STREET,CARLOW,NA,CO. CARLOW
CAO0001,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",TOPAZ BULL RETAIL LIMITED,TOPAZ,NA,DUBLIN ROAD,CARLOW,NA,CO. CARLOW
CAP0179,Publican's Licence (7-Day Ordinary)                                                                 ,TIMOTHY RADFORD,THE FIGHTING COCKS,NA,TEMPLEPETER,NURNEY,NA,CO. CARLOW
CAP0131,Publican's Licence (7-Day Ordinary)                                                                 ,THOMAS BYRNE,THE RATHVILLY INN,NA,RATHVILLY,NA,NA,CO. CARLOW
CAP0240,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar)                                    ,THE WOODFORD DOLMEN HOTEL LIMITED,THE DOLMEN HOTEL,THOMAS O'LOUGHLIN,MORTARSTOWN,KILKENNY ROAD,CARLOW,CO. CARLOW
1013032,Wine Retailer's Off Licence                                                                         ,THE MOLDOVAN RETAIL STORE LIMITED,MOLDOVA,NATALIA MUNTEANU,"UNIT 1 CENTAUR HOUSE, CENTAUR STREET, CARLOW",UNIT 1 CENTAUR HOUSE,CENTAUR STREET,CO. CARLOW
CAO0506,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",TESCO IRELAND LIMITED,TESCO,NA,FAIR GREEN SHOPPING CENTRE,BARRACK STREET/STAPLESTOWN ROAD,CARLOW,CO. CARLOW
CAO0017,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",TESCO IRELAND LIMITED,TESCO,NA,TULLOWBEG,RATHVILLY,NA,CO. CARLOW
1009045,Wine Retailer's Off Licence                                                                         ,TEMPSIDE LIMITED,POLONEZ,NA,UNIT 1 RIVERDELL,HAYMARKET,NA,CO. CARLOW
1014516,Spirit & Beer Retailer's Off Licence                                                                ,TEMPSIDE LIMITED,POLONEZ,NA,UNIT 1 RIVERDELL,HAYMARKET,NA,CO. CARLOW
KKP0949,Publican's Licence (7-Day Ordinary)                                                                 ,SYLVESTER COOTE,COURT ARMS,NA,MAIN STREET,BAGENALSTOWN,NA,CO. CARLOW
1010865,Wine Retailer's On Licence                                                                          ,SUN SHINE CHINESE RESTAURANT,SUN SHINE CHINESE RESTAURANT,XU LING ZHANG,HAWKINS LANE,ABBEY STREET,TULLOW,CO. CARLOW
CAP0080,Publican's Licence (7-Day Ordinary)                                                                 ,SOLJET IRELAND LIMITED,THE MED BAR,LAURENCE MURRAY,112-115 TULLOW STREET,CARLOW,NA,CO. CARLOW
1010105,Manufacturer's Licence - Distiller of Spirits                                                       ,SMYTH & O'REILLY ARTISAN DISTILLERS LTD,SMYTH AND O'REILLY,CHARLES SMYTH,BALLYDARTON HOUSE,FENAGH,NA,CO. CARLOW
CAO0013,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",SHANE CANTILLON,NA,NA,UNIT 4 SHAMROCK BUSINESS PARK,GRAIGUECULLEN,NA,CO. CARLOW
CAP0241,Publican's Licence (7-Day Ordinary)                                                                 ,SALLY WALSHE,WALSHES,NA,KILLERIG CROSS,KILLERIG,NA,CO. CARLOW
1010828,Manufacturer's Licence - Distiller of Spirits                                                       ,ROYAL OAK DISTILLERY LTD,ROYAL OAK DISTILLERY LTD,NA,ROYAL OAK,BAGENALSTOWN,NA,CO. CARLOW
1015650,Wholesaler Dealer in Spirits                                                                        ,ROYAL OAK DISTILLERY LTD,ROYAL OAK DISTILLERY LTD,NA,CLORUSK LOWER,ROYAL OAK,NA,CO. CARLOW
KKW1063,Wine Retailer's On Licence                                                                          ,ROBERTA M.SMITH,NA,NA,LORUM OLD RECTORY,KILGREANEY,BAGENALSTOWN,CO. CARLOW
1013022,Special Restaurant Licence                                                                          ,ROBERT WHITE AND KAREN WHITE,CLASHGANNY HOUSE RESTAURANT,ROBERT WHITE,CLASHGANNY HOUSE,BALLYKEENAN,BORRIS,CO. CARLOW
1002982,Publican's Licence (7-Day Ordinary)                                                                 ,ROBERT BREEN,NA,NA,MAIN STREET,BORRIS,NA,CO. CARLOW
CAO0535,"Spirit, Beer & Wine Retailer's Off Licence                                                          ",RAYRO SERVICE STATION LIMITED,MAXOL MACE O'BRIEN ROAD CARLOW,NA,O'BRIEN ROAD,CARLOW,NA,CO. CARLOW
CAW0448,Wine Retailer's On Licence                                                                          ,RATHWOOD HOME AND GARDEN WORLD LIMITED,NA,PATRICK KEOGH,RATH,TULLOW,NA,CO. CARLOW
CAP0078,Publican's Licence (7-Day Ordinary)                                                                 ,RATHS HOSPITALITY,TEACH DOLMEN,WILLIE RATH,74/75/76 TULLOW STREET,CARLOW,NA,CO. CARLOW
